Player Name - Slate Type,Contest IDs,Player ID,Draftable ID,Player Name,First Name,Last Name,Salary,Position,Team,Game,Game Start Time,Player Image,Tournament,Slate Type,Game Type,Date,Role,Contest Names,Contest IDs (Full),Slate Header
Christian McCaffrey - Showdown Captain Mode (Captain),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,830517,43839719,Christian McCaffrey,Christian,McCaffrey,11400,CPT,SF, @ ,08/20/2026 10:00 PM,https://dkn.gs/sports/images/nfl/players/50/20415.png,SF @ LAC,Showdown Captain Mode,NFL,8/20,Captain,NFL $15K Showdown Special [$5K to 1st] (SF @ LAC);NFL Showdown $2.6K Deep Threat [Single Entry] (SF @ LAC);NFL Showdown $1K Play-Action (SF @ LAC);NFL Showdown $1K Huddle [Single Entry] (SF @ LAC);NFL Showdown $1K First Down [20 Entry Max] (SF @ LAC);NFL Showdown $200 Fair Catch [Single Entry] (SF @ LAC);NFL Showdown $400 Bootleg [Single Entry] (SF @ LAC);NFL Showdown $310 Chop Block [Single Entry] (SF @ LAC);NFL Showdown $150 Quarter Jukebox [Just $0.25!] (SF @ LAC);NFL Showdown $150 Daily Dollar [Single Entry] (SF @ LAC),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,8/20 10:00PM ( @ )
Omarion Hampton - Showdown Captain Mode (Captain),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,1398572,43839720,Omarion Hampton,Omarion,Hampton,11400,CPT,LAC, @ ,08/20/2026 10:00 PM,https://dkn.gs/sports/images/nfl/players/50/886062.png,SF @ LAC,Showdown Captain Mode,NFL,8/20,Captain,NFL $15K Showdown Special [$5K to 1st] (SF @ LAC);NFL Showdown $2.6K Deep Threat [Single Entry] (SF @ LAC);NFL Showdown $1K Play-Action (SF @ LAC);NFL Showdown $1K Huddle [Single Entry] (SF @ LAC);NFL Showdown $1K First Down [20 Entry Max] (SF @ LAC);NFL Showdown $200 Fair Catch [Single Entry] (SF @ LAC);NFL Showdown $400 Bootleg [Single Entry] (SF @ LAC);NFL Showdown $310 Chop Block [Single Entry] (SF @ LAC);NFL Showdown $150 Quarter Jukebox [Just $0.25!] (SF @ LAC);NFL Showdown $150 Daily Dollar [Single Entry] (SF @ LAC),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,8/20 10:00PM ( @ )
Ladd McConkey - Showdown Captain Mode (Captain),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,1218643,43839721,Ladd McConkey,Ladd,McConkey,11400,CPT,LAC, @ ,08/20/2026 10:00 PM,https://dkn.gs/sports/images/nfl/players/50/787795.png,SF @ LAC,Showdown Captain Mode,NFL,8/20,Captain,NFL $15K Showdown Special [$5K to 1st] (SF @ LAC);NFL Showdown $2.6K Deep Threat [Single Entry] (SF @ LAC);NFL Showdown $1K Play-Action (SF @ LAC);NFL Showdown $1K Huddle [Single Entry] (SF @ LAC);NFL Showdown $1K First Down [20 Entry Max] (SF @ LAC);NFL Showdown $200 Fair Catch [Single Entry] (SF @ LAC);NFL Showdown $400 Bootleg [Single Entry] (SF @ LAC);NFL Showdown $310 Chop Block [Single Entry] (SF @ LAC);NFL Showdown $150 Quarter Jukebox [Just $0.25!] (SF @ LAC);NFL Showdown $150 Daily Dollar [Single Entry] (SF @ LAC),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,8/20 10:00PM ( @ )
Mike Evans - Showdown Captain Mode (Captain),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,593587,43839722,Mike Evans,Mike,Evans,11400,CPT,SF, @ ,08/20/2026 10:00 PM,https://dkn.gs/sports/images/nfl/players/50/20134.png,SF @ LAC,Showdown Captain Mode,NFL,8/20,Captain,NFL $15K Showdown Special [$5K to 1st] (SF @ LAC);NFL Showdown $2.6K Deep Threat [Single Entry] (SF @ LAC);NFL Showdown $1K Play-Action (SF @ LAC);NFL Showdown $1K Huddle [Single Entry] (SF @ LAC);NFL Showdown $1K First Down [20 Entry Max] (SF @ LAC);NFL Showdown $200 Fair Catch [Single Entry] (SF @ LAC);NFL Showdown $400 Bootleg [Single Entry] (SF @ LAC);NFL Showdown $310 Chop Block [Single Entry] (SF @ LAC);NFL Showdown $150 Quarter Jukebox [Just $0.25!] (SF @ LAC);NFL Showdown $150 Daily Dollar [Single Entry] (SF @ LAC),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,8/20 10:00PM ( @ )
George Kittle - Showdown Captain Mode (Captain),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,733672,43839723,George Kittle,George,Kittle,11400,CPT,SF, @ ,08/20/2026 10:00 PM,https://dkn.gs/sports/images/nfl/players/50/19566.png,SF @ LAC,Showdown Captain Mode,NFL,8/20,Captain,NFL $15K Showdown Special [$5K to 1st] (SF @ LAC);NFL Showdown $2.6K Deep Threat [Single Entry] (SF @ LAC);NFL Showdown $1K Play-Action (SF @ LAC);NFL Showdown $1K Huddle [Single Entry] (SF @ LAC);NFL Showdown $1K First Down [20 Entry Max] (SF @ LAC);NFL Showdown $200 Fair Catch [Single Entry] (SF @ LAC);NFL Showdown $400 Bootleg [Single Entry] (SF @ LAC);NFL Showdown $310 Chop Block [Single Entry] (SF @ LAC);NFL Showdown $150 Quarter Jukebox [Just $0.25!] (SF @ LAC);NFL Showdown $150 Daily Dollar [Single Entry] (SF @ LAC),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,8/20 10:00PM ( @ )
Oronde Gadsden II - Showdown Captain Mode (Captain),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,1325624,43839724,Oronde Gadsden II,Oronde,Gadsden II,11400,CPT,LAC, @ ,08/20/2026 10:00 PM,https://dkn.gs/sports/images/nfl/players/50/857597.png,SF @ LAC,Showdown Captain Mode,NFL,8/20,Captain,NFL $15K Showdown Special [$5K to 1st] (SF @ LAC);NFL Showdown $2.6K Deep Threat [Single Entry] (SF @ LAC);NFL Showdown $1K Play-Action (SF @ LAC);NFL Showdown $1K Huddle [Single Entry] (SF @ LAC);NFL Showdown $1K First Down [20 Entry Max] (SF @ LAC);NFL Showdown $200 Fair Catch [Single Entry] (SF @ LAC);NFL Showdown $400 Bootleg [Single Entry] (SF @ LAC);NFL Showdown $310 Chop Block [Single Entry] (SF @ LAC);NFL Showdown $150 Quarter Jukebox [Just $0.25!] (SF @ LAC);NFL Showdown $150 Daily Dollar [Single Entry] (SF @ LAC),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,8/20 10:00PM ( @ )
Eddy Pineiro - Showdown Captain Mode (Captain),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,910383,43839725,Eddy Pineiro,Eddy,Pineiro,11400,CPT,SF, @ ,08/20/2026 10:00 PM,https://dkn.gs/sports/images/nfl/players/50/12970.png,SF @ LAC,Showdown Captain Mode,NFL,8/20,Captain,NFL $15K Showdown Special [$5K to 1st] (SF @ LAC);NFL Showdown $2.6K Deep Threat [Single Entry] (SF @ LAC);NFL Showdown $1K Play-Action (SF @ LAC);NFL Showdown $1K Huddle [Single Entry] (SF @ LAC);NFL Showdown $1K First Down [20 Entry Max] (SF @ LAC);NFL Showdown $200 Fair Catch [Single Entry] (SF @ LAC);NFL Showdown $400 Bootleg [Single Entry] (SF @ LAC);NFL Showdown $310 Chop Block [Single Entry] (SF @ LAC);NFL Showdown $150 Quarter Jukebox [Just $0.25!] (SF @ LAC);NFL Showdown $150 Daily Dollar [Single Entry] (SF @ LAC),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,8/20 10:00PM ( @ )
Cameron Dicker - Showdown Captain Mode (Captain),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,1125872,43839726,Cameron Dicker,Cameron,Dicker,11400,CPT,LAC, @ ,08/20/2026 10:00 PM,https://dkn.gs/sports/images/nfl/players/50/641223.png,SF @ LAC,Showdown Captain Mode,NFL,8/20,Captain,NFL $15K Showdown Special [$5K to 1st] (SF @ LAC);NFL Showdown $2.6K Deep Threat [Single Entry] (SF @ LAC);NFL Showdown $1K Play-Action (SF @ LAC);NFL Showdown $1K Huddle [Single Entry] (SF @ LAC);NFL Showdown $1K First Down [20 Entry Max] (SF @ LAC);NFL Showdown $200 Fair Catch [Single Entry] (SF @ LAC);NFL Showdown $400 Bootleg [Single Entry] (SF @ LAC);NFL Showdown $310 Chop Block [Single Entry] (SF @ LAC);NFL Showdown $150 Quarter Jukebox [Just $0.25!] (SF @ LAC);NFL Showdown $150 Daily Dollar [Single Entry] (SF @ LAC),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,8/20 10:00PM ( @ )
Chargers - Showdown Captain Mode (Captain),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,357,43839727,Chargers,Chargers,,11400,CPT,LAC, @ ,08/20/2026 10:00 PM,https://dkn.gs/sports/images/nfl/teams/50/18461.png,SF @ LAC,Showdown Captain Mode,NFL,8/20,Captain,NFL $15K Showdown Special [$5K to 1st] (SF @ LAC);NFL Showdown $2.6K Deep Threat [Single Entry] (SF @ LAC);NFL Showdown $1K Play-Action (SF @ LAC);NFL Showdown $1K Huddle [Single Entry] (SF @ LAC);NFL Showdown $1K First Down [20 Entry Max] (SF @ LAC);NFL Showdown $200 Fair Catch [Single Entry] (SF @ LAC);NFL Showdown $400 Bootleg [Single Entry] (SF @ LAC);NFL Showdown $310 Chop Block [Single Entry] (SF @ LAC);NFL Showdown $150 Quarter Jukebox [Just $0.25!] (SF @ LAC);NFL Showdown $150 Daily Dollar [Single Entry] (SF @ LAC),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,8/20 10:00PM ( @ )
49ers - Showdown Captain Mode (Captain),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,359,43839728,49ers,49ers,,11400,CPT,SF, @ ,08/20/2026 10:00 PM,https://dkn.gs/sports/images/nfl/teams/50/18465.png,SF @ LAC,Showdown Captain Mode,NFL,8/20,Captain,NFL $15K Showdown Special [$5K to 1st] (SF @ LAC);NFL Showdown $2.6K Deep Threat [Single Entry] (SF @ LAC);NFL Showdown $1K Play-Action (SF @ LAC);NFL Showdown $1K Huddle [Single Entry] (SF @ LAC);NFL Showdown $1K First Down [20 Entry Max] (SF @ LAC);NFL Showdown $200 Fair Catch [Single Entry] (SF @ LAC);NFL Showdown $400 Bootleg [Single Entry] (SF @ LAC);NFL Showdown $310 Chop Block [Single Entry] (SF @ LAC);NFL Showdown $150 Quarter Jukebox [Just $0.25!] (SF @ LAC);NFL Showdown $150 Daily Dollar [Single Entry] (SF @ LAC),193845375;193845361;193845364;193845369;193845365;193845368;193845363;193845362;193845366;193845370;193845372;193845371;193845367,8/20 10:00PM ( @ )
