PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Jimmy Horn,WR,CAR,CHI,145,47,3,22,3000,1.47,0.5,0
Mo Alie-Cox,TE,IND,BAL,149,47.5,3.5,22,2500,1.25,0.5,0
Ben Sinnott,TE,WAS,PHI,202,44.5,5.5,19.5,2800,1.04,0.4,0
Eli Stowers,TE,PHI,WAS,-246,44.5,-5.5,25,3100,1.14,0.4,0
Brenen Thompson,WR,LAC,ARI,-510,47.5,-9,28.25,3300,1.3,0.4,0
Audric Estime,RB,NO,DET,260,50,7,21.5,4000,1.47,0.4,0
Seth McGowan,RB,IND,BAL,149,47.5,3.5,22,4300,1.78,0.4,0
Mitchell Evans,TE,CAR,CHI,145,47,3,22,2600,1.1,0.4,0
Kendre Miller,RB,NO,DET,260,50,7,21.5,4000,1.68,0.4,0
Jeremy Ruckert,TE,NYJ,TEN,100,38.5,1.5,18.5,2500,0.97,0.4,0
Dareke Young,WR,LV,MIA,-171,40,-3,21.5,3000,1.07,0.4,0
Jalen Brooks,WR,ARI,LAC,381,47.5,9,19.25,3000,1.28,0.4,0
Durham Smythe,TE,BAL,IND,-179,47.5,-3.5,25.5,2500,0.86,0.3,0
Charlie Woerner,TE,ATL,PIT,216,41,6,17.5,2500,0.7,0.3,0
Seydou Traore,TE,MIA,LV,142,40,3,18.5,2500,0.83,0.3,0
Foster Moreau,TE,HOU,BUF,100,45,1.5,21.75,2600,0.73,0.3,0
Devin Duvernay,WR,ARI,LAC,381,47.5,9,19.25,3000,0.98,0.3,0
Malik Benson,WR,LV,MIA,-171,40,-3,21.5,3100,1.06,0.3,0
Josh Cuevas,TE,BAL,IND,-179,47.5,-3.5,25.5,2500,0.88,0.3,0
Elijah Sarratt,WR,BAL,IND,-179,47.5,-3.5,25.5,3400,0.98,0.3,0
Kimani Vidal,RB,LAC,ARI,-510,47.5,-9,28.25,4800,1.37,0.3,0
Skyler Bell,WR,BUF,HOU,-121,45,-1.5,23.25,3100,0.98,0.3,0
KeAndre Lambert-Smith,WR,LAC,ARI,-510,47.5,-9,28.25,3000,0.92,0.3,0
Tahj Brooks,RB,CIN,TB,-206,50.5,-3.5,27,4100,1.2,0.3,0
DJ Giddens,RB,IND,BAL,149,47.5,3.5,22,4300,1.42,0.3,0
Nicholas Singleton,RB,TEN,NYJ,-122,38.5,-1.5,20,4800,1.7,0.3,0
Will Shipley,RB,PHI,WAS,-246,44.5,-5.5,25,4100,1.29,0.3,0
Jack Endries,TE,CIN,TB,-206,50.5,-3.5,27,2500,0.67,0.3,0
Derius Davis,WR,LAC,ARI,-510,47.5,-9,28.25,3000,0.76,0.3,0
Deion Burks,WR,IND,BAL,149,47.5,3.5,22,3500,0.85,0.2,0
Tylan Wallace,WR,CLE,JAX,331,40,8.5,15.75,3000,0.52,0.2,0
Alec Ingold,RB,LAC,ARI,-510,47.5,-9,28.25,4000,0.7,0.2,0
Connor Heyward,RB,LV,MIA,-171,40,-3,21.5,4000,0.96,0.2,0
Darius Cooper,WR,PHI,WAS,-246,44.5,-5.5,25,3000,0.56,0.2,0
Kameron Johnson,WR,TB,CIN,169,50.5,3.5,23.5,3000,0.55,0.2,0
Demond Claiborne,RB,MIN,GB,-125,46.5,-1.5,24,4400,1.02,0.2,0
Payne Durham,TE,TB,CIN,169,50.5,3.5,23.5,2500,0.58,0.2,0
Drew Ogletree,TE,IND,BAL,149,47.5,3.5,22,2500,0.47,0.2,0
Kaytron Allen,RB,WAS,PHI,202,44.5,5.5,19.5,4600,0.96,0.2,0
Quintin Morris,TE,JAX,CLE,-443,40,-8.5,24.25,2500,0.47,0.2,0
Kylen Granson,TE,TEN,NYJ,-122,38.5,-1.5,20,2500,0.19,0.1,0
Dylan Laube,RB,LV,MIA,-171,40,-3,21.5,4000,0.36,0.1,0
AJ Dillon,RB,CAR,CHI,145,47,3,22,4000,0.35,0.1,0
LaJohntay Wester,WR,BAL,IND,-179,47.5,-3.5,25.5,3000,0.23,0.1,0
Josh Cameron,WR,JAX,CLE,-443,40,-8.5,24.25,3000,0.43,0.1,0
Kaden Wetjen,WR,PIT,ATL,-266,41,-6,23.5,3000,0.14,0.1,0
Ameer Abdullah,RB,JAX,CLE,-443,40,-8.5,24.25,4000,0.31,0.1,0
Skyy Moore,WR,GB,MIN,100,46.5,1.5,22.5,3000,0.2,0.1,0
Riley Nowakowski,RB,PIT,ATL,-266,41,-6,23.5,4000,0.47,0.1,0
Julius Chestnut,RB,TEN,NYJ,-122,38.5,-1.5,20,4000,0.31,0.1,0
Sione Vaki,RB,DET,NO,-329,50,-7,28.5,4000,0.42,0.1,0
Malachi Corley,WR,CLE,JAX,331,40,8.5,15.75,3000,0.2,0.1,0
Roschon Johnson,RB,CHI,CAR,-175,47,-3,25,4000,0.25,0.1,0
Arian Smith,WR,NYJ,TEN,100,38.5,1.5,18.5,3000,0.36,0.1,0
Rasheen Ali,RB,BAL,IND,-179,47.5,-3.5,25.5,4200,0.25,0.1,0
Bauer Sharp,TE,TB,CIN,169,50.5,3.5,23.5,2500,0.12,0.1,0
Dyami Brown,WR,WAS,PHI,202,44.5,5.5,19.5,3200,0,0,0
Michael Burton,RB,CLE,JAX,331,40,8.5,15.75,4000,0,0,0
Cole Payton,QB,PHI,WAS,-246,44.5,-5.5,25,4000,0,0,0
J. Michael Sturdivant,WR,GB,MIN,100,46.5,1.5,22.5,3000,0,0,0
Dohnte Meyers,WR,CIN,TB,-206,50.5,-3.5,27,3000,0,0,0
Max Bredeson,RB,MIN,GB,-125,46.5,-1.5,24,4000,0.12,0,0
Trey Lance,QB,LAC,ARI,-510,47.5,-9,28.25,4000,0,0,0
Tom Kennedy,WR,DET,NO,-329,50,-7,28.5,3000,0,0,0
Joe Fagnano,QB,BAL,IND,-179,47.5,-3.5,25.5,4000,0,0,0
Kene Nwangwu,RB,NYJ,TEN,100,38.5,1.5,18.5,4000,0.12,0,0
Andrew DePaola,TE,MIN,GB,-125,46.5,-1.5,24,2500,0,0,0
Jalon Daniels,QB,TB,CIN,169,50.5,3.5,23.5,4000,0,0,0
Feleipe Franks,TE,CAR,CHI,145,47,3,22,2500,0.08,0,0
Haynes King,QB,CAR,CHI,145,47,3,22,4000,0,0,0
Jameson Geers,TE,ARI,LAC,381,47.5,9,19.25,2500,0,0,0
Adam Randall,RB,BAL,IND,-179,47.5,-3.5,25.5,4000,0,0,0
Carson Beck,QB,ARI,LAC,381,47.5,9,19.25,4100,0,0,0
Chris Brazzell,WR,CAR,CHI,145,47,3,22,3000,0,0,0
Tyler Ott,TE,WAS,PHI,202,44.5,5.5,19.5,2500,0,0,0
Carson Towt,TE,IND,BAL,149,47.5,3.5,22,2500,0,0,0
Trey Benson,RB,ARI,LAC,381,47.5,9,19.25,4400,0,0,0
Case Keenum,QB,CHI,CAR,-175,47,-3,25,4000,0,0,0
Jaren Kanak,TE,TEN,NYJ,-122,38.5,-1.5,20,2500,0,0,0
Robert Tonyan,TE,PIT,ATL,-266,41,-6,23.5,2500,0.07,0,0
Cade Klubnik,QB,NYJ,TEN,100,38.5,1.5,18.5,4000,0,0,0
Chip Trayanum,RB,NYJ,TEN,100,38.5,1.5,18.5,4000,0,0,0
Kyle Allen,QB,BUF,HOU,-121,45,-1.5,23.25,4000,0,0,0
James Conner,RB,ARI,LAC,381,47.5,9,19.25,4200,0,0,0
Tua Tagovailoa,QB,ATL,PIT,216,41,6,17.5,4800,0,0,0
Jack Strand,QB,ATL,PIT,216,41,6,17.5,4000,0,0,0
Tim Patrick,WR,NYJ,TEN,100,38.5,1.5,18.5,3000,0,0,0
Drew Allar,QB,PIT,ATL,-266,41,-6,23.5,4000,0,0,0
Eli Heidenreich,RB,PIT,ATL,-266,41,-6,23.5,4000,0,0,0
Mitchell Trubisky,QB,TEN,NYJ,-122,38.5,-1.5,20,4000,0,0,0
Teddy Bridgewater,QB,DET,NO,-329,50,-7,28.5,4000,0,0,0
Carson Wentz,QB,MIN,GB,-125,46.5,-1.5,24,4000,0,0,0
