PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Deebo Samuel,UT,SF,LAR,169,48.5,3.5,22.5,7000,10.15,1.5,15.7
George Kittle,UT,SF,LAR,169,48.5,3.5,22.5,7400,10.1,1.4,20
Blake Corum,UT,LAR,SF,-205,48.5,-3.5,26,4600,8.57,1.9,34.3
CJ Daniels,UT,LAR,SF,-205,48.5,-3.5,26,800,2.13,2.7,3
Los Angeles Rams,UT,LAR,SF,-205,48.5,-3.5,26,4000,6.41,1.6,21
De'Zhaun Stribling,UT,SF,LAR,169,48.5,3.5,22.5,6600,6.91,1.1,21.8
San Francisco 49ers,UT,SF,LAR,169,48.5,3.5,22.5,3400,5.15,1.5,4.9
Colby Parkinson,UT,LAR,SF,-205,48.5,-3.5,26,3600,5.42,1.5,24.8
Terrance Ferguson,UT,LAR,SF,-205,48.5,-3.5,26,3200,3.7,1.2,25.2
Davis Allen,UT,LAR,SF,-205,48.5,-3.5,26,600,0.8,1.3,4
Max Klare,UT,LAR,SF,-205,48.5,-3.5,26,1600,1.66,1,1
Kyle Juszczyk,UT,SF,LAR,169,48.5,3.5,22.5,1400,1.69,1.2,10.4
