Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Passing TDs,Rushing Yards,Receiving Yards,Passing Yards,Rush+Rec Yards,Anytime TD,Passing Attempts,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE),Proj Pass Comp,Proj Pass Att,Proj Comp %,Proj Pass Yds,Proj Pass AVG,Proj Pass Long,Proj Pass TDs,Proj INT,Proj Passer Rating,Proj Rush Att,Proj Rush Yds,Proj Rush AVG,Proj Rush Long,Proj Rush TDs,Proj Rec,Proj Targets,Proj Rec Yds,Proj Rec AVG,Proj Rec Long,Proj Rec TDs,Proj Anytime TD,Proj Fumbles,Proj Fumbles Lost,Proj FG,Proj PAT,Proj Kick Pts
Cole Kmet,TE,CHI,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",3300,43728255,3.64,4.64,1.1,9.9,,,4.5,,,,,2,https://dkn.gs/sports/images/nfl/players/50/485483.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,1.84,2.5,14.5,7.88,9.88,,0.17,,,,,
Cole Kmet,TE,CHI,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",3300,44070264,3.64,4.64,1.1,9.9,,,4.5,,,,,2,https://dkn.gs/sports/images/nfl/players/50/485483.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,1.84,2.5,14.5,7.88,9.88,,0.17,,,,,
Jonathon Brooks,RB,CAR,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",5000,43727391,2.04,4.63,0.41,15,,,,,,,,,https://dkn.gs/sports/images/nfl/players/50/780082.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,,,,,,,0.34,,,,,
Jonathon Brooks,RB,CAR,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",5000,44069816,2.04,4.63,0.41,15,,,,,,,,,https://dkn.gs/sports/images/nfl/players/50/780082.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,,,,,,,0.34,,,,,
Kalif Raymond,WR,CHI,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",3300,43727795,3.6,4.61,1.09,9.9,,,1.5,,,,,2,https://dkn.gs/sports/images/nfl/players/50/19993.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,1.8,2.5,16.29,9.05,11.5,,0.12,,,,,
Kalif Raymond,WR,CHI,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",3300,44070060,3.6,4.61,1.09,9.9,,,1.5,,,,,2,https://dkn.gs/sports/images/nfl/players/50/19993.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,1.8,2.5,16.29,9.05,11.5,,0.12,,,,,
Darren Waller,CPT,CAR,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),6300,44081900,1.02,4.6,0.16,18.9,,,,,,,,,https://dkn.gs/sports/images/nfl/players/50/13162.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,,,,,,,0.17,,,,,
Tyler Higbee,CPT,LAR,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),3900,44080794,3.2,4.56,0.82,11.7,,,4.5,,,,,3.5,https://dkn.gs/sports/images/nfl/players/50/13758.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,,,,,,1.73,2.5,12.38,7.16,9.5,,0.14,,,,,
David Njoku,TE,LAC,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",3000,43728271,3.69,4.54,1.23,9,,,15.5,,,,,2,https://dkn.gs/sports/images/nfl/players/50/14741.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,1.79,2,15.5,8.66,10.5,,0.17,,,,,
Charlie Smyth,CPT,NO,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),7500,44081483,0,4.5,0,22.5,,,,,,,,,https://dkn.gs/sports/images/nfl/players/50/783762.png,,,,,,,9/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Moody,CPT,BAL,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),7500,44081794,0,4.5,0,22.5,,,,,,,,,https://dkn.gs/sports/images/nfl/players/50/706568.png,,,,,,,9/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Iosivas,CPT,CIN,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),4200,44082006,2.93,4.48,0.7,12.6,,,9.5,,,,,1.5,https://dkn.gs/sports/images/nfl/players/50/706682.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,1.35,2,9.5,7.04,8.5,,0.23,,,,,
Charlie Kolar,TE,LAC,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",2500,43728297,3.89,4.47,1.56,7.5,,,2.5,,,,,2,https://dkn.gs/sports/images/nfl/players/50/641020.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,1.91,2.5,16.29,8.53,11.5,,0.17,,,,,
Demarcus Robinson,WR,SF,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),3800,44080734,3,4.46,0.79,11.4,,,1.5,,,,,,https://dkn.gs/sports/images/nfl/players/50/11863.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,,,,,,1.29,1.5,11.08,8.59,10.5,,0.1,,,,,
Demarcus Robinson,WR,SF,Classic,9/10/2026,"Classic 9/9 8:20PM, 16 Games",3800,44038143,3,4.46,0.79,11.4,,,1.5,,,,,,https://dkn.gs/sports/images/nfl/players/50/11863.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,,,,,,1.29,1.5,11.08,8.59,10.5,,0.1,,,,,
Kyle Monangai,RB,CHI,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",5100,43727381,1.74,4.45,0.34,15.3,,,,,,,,,https://dkn.gs/sports/images/nfl/players/50/886080.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,,,,,,,0.29,,,,,
Kyle Monangai,RB,CHI,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",5100,44069810,1.74,4.45,0.34,15.3,,,,,,,,,https://dkn.gs/sports/images/nfl/players/50/886080.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,,,,,,,0.29,,,,,
