Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Passing TDs,Rushing Yards,Receiving Yards,Passing Yards,Rush+Rec Yards,Anytime TD,Passing Attempts,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE),Proj Pass Comp,Proj Pass Att,Proj Comp %,Proj Pass Yds,Proj Pass AVG,Proj Pass Long,Proj Pass TDs,Proj INT,Proj Passer Rating,Proj Rush Att,Proj Rush Yds,Proj Rush AVG,Proj Rush Long,Proj Rush TDs,Proj Rec,Proj Targets,Proj Rec Yds,Proj Rec AVG,Proj Rec Long,Proj Rec TDs,Proj Anytime TD,Proj Fumbles,Proj Fumbles Lost,Proj FG,Proj PAT,Proj Kick Pts
Jahmyr Gibbs,CPT,DET,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),18000,44081469,20.06,25.04,1.11,54,,39.5,10.5,,,,,17,https://dkn.gs/sports/images/nfl/players/50/693115.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,17.88,84.03,4.7,,0.49,4.37,5,30.29,6.93,13.5,0.11,0.71,,0.1,,,
Ja'Marr Chase,CPT,CIN,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),17700,44081984,19.12,24.56,1.08,53.1,,,45.5,,,,,14,https://dkn.gs/sports/images/nfl/players/50/557826.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,0.2,0.9,4.5,,0,7.37,10.5,86.29,11.71,25.5,0.51,0.52,,0,,,
Bijan Robinson,CPT,ATL,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),17700,44081675,18.97,23.98,1.07,53.1,,39.5,14.5,,,,,15,https://dkn.gs/sports/images/nfl/players/50/693112.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,18.43,76.5,4.15,,0.5,4.37,5.5,36.5,8.35,14.12,0.15,0.55,,0.1,,,
Puka Nacua,CPT,LAR,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),16800,44080768,18.65,23.31,1.11,50.4,,6.5,45.5,,,,,13.5,https://dkn.gs/sports/images/nfl/players/50/706654.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,0.7,3.29,4.7,,0,7.35,10,90.5,12.31,27.35,0.45,0.4,,0,,,
Jahmyr Gibbs,RB,DET,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),12000,44081416,20.06,22.4,1.67,36,,39.5,10.5,,,,,17,https://dkn.gs/sports/images/nfl/players/50/693115.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,17.88,84.03,4.7,,0.49,4.37,5,30.29,6.93,13.5,0.11,0.71,,0.1,,,
Amon-Ra St. Brown,CPT,DET,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),16500,44081470,17.01,22.21,1.03,49.5,,,36.5,,,,,12.5,https://dkn.gs/sports/images/nfl/players/50/560800.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,0,,,,,,0.2,0.55,2.75,,0,6.68,9,77.92,11.66,22.5,0.49,0.46,,0,,,
Christian McCaffrey,CPT,SF,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),15900,44080769,17.82,22.2,1.12,47.7,,29.5,19.5,,,,,14,https://dkn.gs/sports/images/nfl/players/50/20415.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,15.59,59.24,3.8,,0.5,4.69,5.5,38.49,8.21,16.89,0.2,0.56,,0.1,,,
Josh Allen,CPT,BUF,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),16500,44082085,17.86,22.08,1.08,49.5,0.5,10.5,,161.5,,,24.5,15.5,https://dkn.gs/sports/images/nfl/players/50/11370.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,20.06,30.67,65.4,221.5,7.22,35.5,1.16,0.74,89.2,6.71,31.77,4.73,,0.46,,,,,,,0.4,,0.2,,,
Lamar Jackson,CPT,BAL,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),16200,44081780,18,22.08,1.11,48.6,0.5,16.5,,151.5,,,21.5,15.5,https://dkn.gs/sports/images/nfl/players/50/17173.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,17.51,26.8,65.3,219.72,8.2,36.5,1.32,0.54,98.7,6.87,37.25,5.42,,0.39,,,,,,,0.25,,0.2,,,
Joe Burrow,CPT,CIN,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),15000,44081986,18.5,22.03,1.23,45,1.5,1.5,,197.5,,,29.5,15.5,https://dkn.gs/sports/images/nfl/players/50/485441.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,24.67,34.76,71,267.08,7.68,37.5,1.84,0.55,104.3,2.67,8.62,3.23,,0.3,,,,,,,0.11,,0.2,,,
Ja'Marr Chase,WR,CIN,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),11800,44081934,19.12,21.72,1.62,35.4,,,45.5,,,,,14,https://dkn.gs/sports/images/nfl/players/50/557826.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,0.2,0.9,4.5,,0,7.37,10.5,86.29,11.71,25.5,0.51,0.52,,0,,,
Jaxon Smith-Njigba,CPT,SEA,Showdown Captain Mode,9/9/2026,Showdown Captain Mode 9/9 8:20PM ( @ ),15900,43782097,16.6,21.58,1.04,47.7,,,39.5,,,,,12,https://dkn.gs/sports/images/nfl/players/50/686189.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/9/2026,,,,,,,,,,0.4,1.9,4.75,,0,6.57,9,82.08,12.49,25.5,0.45,0.39,,0,,,
Jaxon Smith-Njigba,CPT,SEA,Showdown Captain Mode,9/9/2026,Showdown Captain Mode 9/9 9:20PM ( @ ),15900,44068539,16.6,21.58,1.04,47.7,,,39.5,,,,,12,https://dkn.gs/sports/images/nfl/players/50/686189.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/9/2026,,,,,,,,,,0.4,1.9,4.75,,0,6.57,9,82.08,12.49,25.5,0.45,0.39,,0,,,
Jaxon Smith-Njigba,CPT,SEA,Showdown Captain Mode,9/9/2026,Showdown Captain Mode 9/9 9:50PM ( @ ),15900,44068647,16.6,21.58,1.04,47.7,,,39.5,,,,,12,https://dkn.gs/sports/images/nfl/players/50/686189.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/9/2026,,,,,,,,,,0.4,1.9,4.75,,0,6.57,9,82.08,12.49,25.5,0.45,0.39,,0,,,
Bijan Robinson,RB,ATL,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),11800,44081624,18.97,21.38,1.61,35.4,,39.5,14.5,,,,,15,https://dkn.gs/sports/images/nfl/players/50/693112.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,18.43,76.5,4.15,,0.5,4.37,5.5,36.5,8.35,14.12,0.15,0.55,,0.1,,,
Jonathan Taylor,CPT,IND,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),17700,44081778,15.91,21.36,0.9,53.1,,39.5,1.5,,,,,12.5,https://dkn.gs/sports/images/nfl/players/50/468700.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,18.62,76.5,4.11,,0.49,2.99,3.5,16.08,5.38,9.5,0.07,0.61,,0.1,,,
Jared Goff,CPT,DET,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),15000,44081472,17.5,21.17,1.17,45,1.5,-0.5,,191.5,,,27.5,14.5,https://dkn.gs/sports/images/nfl/players/50/13631.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,23.59,33.7,70,261.5,7.76,36.5,1.87,0.53,104.7,1.5,0.5,0.33,,0.28,,,,,,,0.06,,0.2,,,
Trevor Lawrence,CPT,JAX,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),14700,44081573,17.42,20.98,1.19,44.1,0.5,7.5,,174.5,,,27.5,14,https://dkn.gs/sports/images/nfl/players/50/542787.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,20.72,32.52,63.7,235.5,7.24,35.5,1.53,0.64,92.8,4.86,16.5,3.4,,0.38,,,,,,,0.27,,0.2,,,
Puka Nacua,WR,LAR,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),11200,44080714,18.65,20.84,1.67,33.6,,6.5,45.5,,,,,13.5,https://dkn.gs/sports/images/nfl/players/50/706654.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,0.7,3.29,4.7,,0,7.35,10,90.5,12.31,27.35,0.45,0.4,,0,,,
Chris Olave,CPT,NO,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),15900,44081471,15.7,20.82,0.99,47.7,,,36.5,,,,,11.5,https://dkn.gs/sports/images/nfl/players/50/640762.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,0.1,0.4,4,,0,6.39,10,76.71,12,23.5,0.43,0.37,,0,,,
Caleb Williams,CPT,CHI,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),16200,44081882,16.51,20.79,1.02,48.6,0.5,9.5,,166.5,,,27.5,14,https://dkn.gs/sports/images/nfl/players/50/779692.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,19.88,32.33,61.5,226.5,7.01,35.5,1.43,0.59,89.7,4.38,19.76,4.51,,0.34,,,,,,,0.17,,0.2,,,
Matthew Stafford,CPT,LAR,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),14700,44080770,17.15,20.74,1.17,44.1,1.5,4.5,,195.5,,,29.5,14,https://dkn.gs/sports/images/nfl/players/50/19432.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,23.64,34.51,68.5,265.92,7.71,38.5,1.75,0.57,101.3,,0.5,,,,,,,,,,0.05,,,,,
Jahmyr Gibbs,RB,DET,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",8000,43727325,20.06,20.64,2.51,24,,39.5,10.5,,,,,17,https://dkn.gs/sports/images/nfl/players/50/693115.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,17.88,84.03,4.7,,0.49,4.37,5,30.29,6.93,13.5,0.11,0.71,,0.1,,,
Jahmyr Gibbs,RB,DET,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",8000,44069774,20.06,20.64,2.51,24,,39.5,10.5,,,,,17,https://dkn.gs/sports/images/nfl/players/50/693115.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,17.88,84.03,4.7,,0.49,4.37,5,30.29,6.93,13.5,0.11,0.71,,0.1,,,
Drake Maye,CPT,NE,Showdown Captain Mode,9/9/2026,Showdown Captain Mode 9/9 8:20PM ( @ ),15000,43782098,16.41,20.22,1.09,45,0.5,10.5,,163.5,,,27.5,14,https://dkn.gs/sports/images/nfl/players/50/779819.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/9/2026,20.5,32.48,63.1,232.5,7.16,35.5,1.25,0.7,88.4,5.37,25.03,4.66,,,,,,,,,0.16,,,,,
Drake Maye,CPT,NE,Showdown Captain Mode,9/9/2026,Showdown Captain Mode 9/9 9:20PM ( @ ),15000,44068540,16.41,20.22,1.09,45,0.5,10.5,,163.5,,,27.5,14,https://dkn.gs/sports/images/nfl/players/50/779819.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/9/2026,20.5,32.48,63.1,232.5,7.16,35.5,1.25,0.7,88.4,5.37,25.03,4.66,,,,,,,,,0.16,,,,,
Drake Maye,CPT,NE,Showdown Captain Mode,9/9/2026,Showdown Captain Mode 9/9 9:50PM ( @ ),15000,44068648,16.41,20.22,1.09,45,0.5,10.5,,163.5,,,27.5,14,https://dkn.gs/sports/images/nfl/players/50/779819.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/9/2026,20.5,32.48,63.1,232.5,7.16,35.5,1.25,0.7,88.4,5.37,25.03,4.66,,,,,,,,,0.16,,,,,
Brock Purdy,CPT,SF,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),14100,44080771,16.63,20.05,1.18,42.3,0.5,7.5,,174.5,,,27.5,14,https://dkn.gs/sports/images/nfl/players/50/641156.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,21.85,34.06,64.1,244.5,7.18,36.5,1.43,0.86,88.9,3.78,17.5,4.63,,,,,,,,,0.14,,,,,
Joe Burrow,QB,CIN,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),10000,44081936,18.5,20.03,1.85,30,1.5,1.5,,197.5,,,29.5,15.5,https://dkn.gs/sports/images/nfl/players/50/485441.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,24.67,34.76,71,267.08,7.68,37.5,1.84,0.55,104.3,2.67,8.62,3.23,,0.3,,,,,,,0.11,,0.2,,,
Lamar Jackson,QB,BAL,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),10800,44081728,18,19.92,1.67,32.4,0.5,16.5,,151.5,,,21.5,15.5,https://dkn.gs/sports/images/nfl/players/50/17173.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,17.51,26.8,65.3,219.72,8.2,36.5,1.32,0.54,98.7,6.87,37.25,5.42,,0.39,,,,,,,0.25,,0.2,,,
Tyler Shough,CPT,NO,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),14400,44081473,16.34,19.92,1.13,43.2,0.5,7.5,,174.5,,,27.5,14,https://dkn.gs/sports/images/nfl/players/50/788320.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,21.74,32.89,66.1,246.92,7.51,35.5,1.27,0.71,92.3,4.09,17.03,4.16,,,,,,,,,0.18,,,,,
Chase Brown,CPT,CIN,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),16500,44081985,14.83,19.91,0.9,49.5,,27.5,8.5,,,,,11.5,https://dkn.gs/sports/images/nfl/players/50/706641.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,14.87,57.5,3.87,,0.37,3.65,4.5,23.71,6.5,11.5,0.15,0.51,,0.1,,,
Josh Allen,QB,BUF,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),11000,44082034,17.86,19.88,1.62,33,0.5,10.5,,161.5,,,24.5,15.5,https://dkn.gs/sports/images/nfl/players/50/11370.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,20.06,30.67,65.4,221.5,7.22,35.5,1.16,0.74,89.2,6.71,31.77,4.73,,0.46,,,,,,,0.4,,0.2,,,
Christian McCaffrey,RB,SF,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),10600,44080715,17.82,19.87,1.68,31.8,,29.5,19.5,,,,,14,https://dkn.gs/sports/images/nfl/players/50/20415.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,15.59,59.24,3.8,,0.5,4.69,5.5,38.49,8.21,16.89,0.2,0.56,,0.1,,,
Ja'Marr Chase,WR,CIN,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",7800,43727631,19.12,19.8,2.45,23.4,,,45.5,,,,,14,https://dkn.gs/sports/images/nfl/players/50/557826.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,0.2,0.9,4.5,,0,7.37,10.5,86.29,11.71,25.5,0.51,0.52,,0,,,
Ja'Marr Chase,WR,CIN,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",7800,44069944,19.12,19.8,2.45,23.4,,,45.5,,,,,14,https://dkn.gs/sports/images/nfl/players/50/557826.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,0.2,0.9,4.5,,0,7.37,10.5,86.29,11.71,25.5,0.51,0.52,,0,,,
Bijan Robinson,RB,ATL,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",7700,43727327,18.97,19.58,2.46,23.1,,39.5,14.5,,,,,15,https://dkn.gs/sports/images/nfl/players/50/693112.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,18.43,76.5,4.15,,0.5,4.37,5.5,36.5,8.35,14.12,0.15,0.55,,0.1,,,
Bijan Robinson,RB,ATL,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",7700,44069776,18.97,19.58,2.46,23.1,,39.5,14.5,,,,,15,https://dkn.gs/sports/images/nfl/players/50/693112.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,18.43,76.5,4.15,,0.5,4.37,5.5,36.5,8.35,14.12,0.15,0.55,,0.1,,,
Amon-Ra St. Brown,WR,DET,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),11000,44081417,17.01,19.57,1.55,33,,,36.5,,,,,12.5,https://dkn.gs/sports/images/nfl/players/50/560800.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,0,,,,,,0.2,0.55,2.75,,0,6.68,9,77.92,11.66,22.5,0.49,0.46,,0,,,
Baker Mayfield,CPT,TB,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),13500,44081987,16.26,19.49,1.2,40.5,0.5,4.5,,161.5,,,25.5,13.5,https://dkn.gs/sports/images/nfl/players/50/14690.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,21.28,31.73,67.1,231.5,7.3,35.5,1.46,0.63,95.4,3.69,15.5,4.2,,,,,,,,,0.14,,,,,
Puka Nacua,WR,LAR,Classic,9/10/2026,"Classic 9/9 8:20PM, 16 Games",7700,44037979,18.65,19.3,2.42,23.1,,6.5,45.5,,,,,13.5,https://dkn.gs/sports/images/nfl/players/50/706654.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,0.7,3.29,4.7,,0,7.35,10,90.5,12.31,27.35,0.45,0.4,,0,,,
Jared Goff,QB,DET,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),10000,44081419,17.5,19.17,1.75,30,1.5,-0.5,,191.5,,,27.5,14.5,https://dkn.gs/sports/images/nfl/players/50/13631.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,23.59,33.7,70,261.5,7.76,36.5,1.87,0.53,104.7,1.5,0.5,0.33,,0.28,,,,,,,0.06,,0.2,,,
Justin Herbert,QB,LAC,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",6100,43727240,19.16,19.05,3.14,18.3,1.5,6.5,,174.5,,,24.5,15.5,https://dkn.gs/sports/images/nfl/players/50/468527.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,21.07,29.92,70.4,236.5,7.9,36.5,1.9,0.45,108.6,5.07,22.03,4.35,,0.34,,,,,,,0.17,,0.2,,,
James Cook III,CPT,BUF,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),15900,44082086,14.11,19.04,0.89,47.7,,39.5,4.5,,,,,10.5,https://dkn.gs/sports/images/nfl/players/50/640895.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,17.49,74.76,4.27,,0.41,2.4,3,14.71,6.13,8.88,0.08,0.48,,0.1,,,
Jaxon Smith-Njigba,WR,SEA,Showdown Captain Mode,9/9/2026,Showdown Captain Mode 9/9 8:20PM ( @ ),10600,43782034,16.6,19.03,1.57,31.8,,,39.5,,,,,12,https://dkn.gs/sports/images/nfl/players/50/686189.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/9/2026,,,,,,,,,,0.4,1.9,4.75,,0,6.57,9,82.08,12.49,25.5,0.45,0.39,,0,,,
Jaxon Smith-Njigba,WR,SEA,Showdown Captain Mode,9/9/2026,Showdown Captain Mode 9/9 9:20PM ( @ ),10600,44068593,16.6,19.03,1.57,31.8,,,39.5,,,,,12,https://dkn.gs/sports/images/nfl/players/50/686189.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/9/2026,,,,,,,,,,0.4,1.9,4.75,,0,6.57,9,82.08,12.49,25.5,0.45,0.39,,0,,,
Jaxon Smith-Njigba,WR,SEA,Showdown Captain Mode,9/9/2026,Showdown Captain Mode 9/9 9:50PM ( @ ),10600,44068701,16.6,19.03,1.57,31.8,,,39.5,,,,,12,https://dkn.gs/sports/images/nfl/players/50/686189.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/9/2026,,,,,,,,,,0.4,1.9,4.75,,0,6.57,9,82.08,12.49,25.5,0.45,0.39,,0,,,
Trevor Lawrence,QB,JAX,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),9800,44081522,17.42,19.02,1.78,29.4,0.5,7.5,,174.5,,,27.5,14,https://dkn.gs/sports/images/nfl/players/50/542787.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,20.72,32.52,63.7,235.5,7.24,35.5,1.53,0.64,92.8,4.86,16.5,3.4,,0.38,,,,,,,0.27,,0.2,,,
Derrick Henry,CPT,BAL,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),16800,44081779,13.47,18.89,0.8,50.4,,45.5,1.5,,,,,10.5,https://dkn.gs/sports/images/nfl/players/50/19898.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,17.94,79.24,4.42,,0.49,1.16,2,5.45,4.7,4.5,0.06,0.64,,0.1,,,
Daniel Jones,CPT,IND,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),14100,44081781,15.21,18.82,1.08,42.3,0.5,1.5,,169.5,,,27.5,13,https://dkn.gs/sports/images/nfl/players/50/19174.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,21.81,32.43,67.3,233.5,7.2,34.5,1.3,0.65,93.1,3.5,10.5,3,,,,,,,,,0.15,,,,,
Nico Collins,CPT,HOU,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),15000,44082087,13.82,18.81,0.92,45,,,34.5,,,,,10.5,https://dkn.gs/sports/images/nfl/players/50/560761.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,0.1,0.7,7,,0,5.46,8.5,69.71,12.77,21.5,0.42,0.34,,0,,,
Joe Burrow,QB,CIN,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",6900,43727235,18.5,18.79,2.68,20.7,1.5,1.5,,197.5,,,29.5,15.5,https://dkn.gs/sports/images/nfl/players/50/485441.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,24.67,34.76,71,267.08,7.68,37.5,1.84,0.55,104.3,2.67,8.62,3.23,,0.3,,,,,,,0.11,,0.2,,,
Joe Burrow,QB,CIN,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",6900,44069720,18.5,18.79,2.68,20.7,1.5,1.5,,197.5,,,29.5,15.5,https://dkn.gs/sports/images/nfl/players/50/485441.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,24.67,34.76,71,267.08,7.68,37.5,1.84,0.55,104.3,2.67,8.62,3.23,,0.3,,,,,,,0.11,,0.2,,,
Matthew Stafford,QB,LAR,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),9800,44080716,17.15,18.78,1.75,29.4,1.5,4.5,,195.5,,,29.5,14,https://dkn.gs/sports/images/nfl/players/50/19432.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,23.64,34.51,68.5,265.92,7.71,38.5,1.75,0.57,101.3,,0.5,,,,,,,,,,0.05,,,,,
Jonathan Taylor,RB,IND,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),11800,44081726,15.91,18.77,1.35,35.4,,39.5,1.5,,,,,12.5,https://dkn.gs/sports/images/nfl/players/50/468700.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,18.62,76.5,4.11,,0.49,2.99,3.5,16.08,5.38,9.5,0.07,0.61,,0.1,,,
Caleb Williams,QB,CHI,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),10800,44081830,16.51,18.63,1.53,32.4,0.5,9.5,,166.5,,,27.5,14,https://dkn.gs/sports/images/nfl/players/50/779692.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,19.88,32.33,61.5,226.5,7.01,35.5,1.43,0.59,89.7,4.38,19.76,4.51,,0.34,,,,,,,0.17,,0.2,,,
Christian McCaffrey,RB,SF,Classic,9/10/2026,"Classic 9/9 8:20PM, 16 Games",7500,44037611,17.82,18.51,2.38,22.5,,29.5,19.5,,,,,14,https://dkn.gs/sports/images/nfl/players/50/20415.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,15.59,59.24,3.8,,0.5,4.69,5.5,38.49,8.21,16.89,0.2,0.56,,0.1,,,
Breece Hall,CPT,NYJ,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),15300,44082186,13.75,18.47,0.9,45.9,,34.5,4.5,,,,,10,https://dkn.gs/sports/images/nfl/players/50/631855.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,16.57,64.5,3.89,,,2.6,3,20.51,7.89,11.5,,0.47,,,,,
Drake London,CPT,ATL,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),15600,44081676,13.04,18.44,0.84,46.8,,,29.5,,,,,9.5,https://dkn.gs/sports/images/nfl/players/50/630530.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,5.65,9,64.5,11.42,21.5,,0.28,,,,,
Bryce Young,CPT,CAR,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),14400,44081883,14.49,18.32,1.01,43.2,0.5,3.5,,147.5,,,24.5,12,https://dkn.gs/sports/images/nfl/players/50/693109.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,20.01,31.49,63.5,208.5,6.62,33.5,1.32,0.63,88.3,3.57,13.5,3.78,,,,,,,,,0.11,,,,,
Lamar Jackson,QB,BAL,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",6800,43727236,18,18.32,2.65,20.4,0.5,16.5,,151.5,,,21.5,15.5,https://dkn.gs/sports/images/nfl/players/50/17173.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,17.51,26.8,65.3,219.72,8.2,36.5,1.32,0.54,98.7,6.87,37.25,5.42,,0.39,,,,,,,0.25,,0.2,,,
